arm	model	truth	predicted	p_legitimate	p_spam	p_phishing	legal_mass	message
zero-shot	llama3.2:3b	spam	spam	0.0001	0.9941	0.0058	0.9980	lose twenty pounds with this one weird trick
zero-shot	llama3.2:3b	legitimate	legitimate	0.9540	0.0454	0.0006	0.9780	can you review the draft before friday
zero-shot	llama3.2:3b	phishing	spam	0.0001	0.6709	0.3289	0.9978	the ceo needs you to buy gift cards urgently
zero-shot	llama3.2:3b	spam	spam	0.0000	0.9784	0.0216	0.9978	double your crypto returns guaranteed no risk
zero-shot	llama3.2:3b	legitimate	legitimate	0.8647	0.1228	0.0125	0.9885	welcome to the team, here is your desk number
zero-shot	llama3.2:3b	phishing	phishing	0.0006	0.4122	0.5872	0.9961	your vpn certificate expired, reauthenticate here
zero-shot	llama3.2:3b	spam	spam	0.0004	0.9740	0.0256	0.9975	your car warranty is about to expire, act now
zero-shot	llama3.2:3b	legitimate	legitimate	0.9645	0.0295	0.0059	0.9762	we rescheduled the client call to wednesday
zero-shot	llama3.2:3b	phishing	phishing	0.0025	0.4538	0.5437	0.9942	action required: reset your password within an hour
zero-shot	llama3.2:3b	spam	spam	0.0015	0.8552	0.1434	0.9891	we can remove your debt in thirty days
zero-shot	llama3.2:3b	legitimate	spam	0.2084	0.6641	0.1276	0.9941	the parking permit renewal form is due friday
zero-shot	llama3.2:3b	phishing	phishing	0.0026	0.4554	0.5419	0.9912	confirm your identity to release the held package
zero-shot	llama3.2:3b	spam	spam	0.0001	0.9744	0.0255	0.9946	this stock is about to explode, buy before monday
zero-shot	llama3.2:3b	legitimate	legitimate	0.8408	0.1426	0.0166	0.9898	badge access to the lab starts on monday
zero-shot	llama3.2:3b	phishing	phishing	0.0049	0.4135	0.5816	0.9904	urgent: the director asked me to handle this quietly
zero-shot	llama3.2:3b	spam	spam	0.0005	0.9913	0.0082	0.9969	miracle cream removes wrinkles overnight
zero-shot	llama3.2:3b	legitimate	legitimate	0.6063	0.3008	0.0929	0.9035	i added the numbers you asked for to the sheet
zero-shot	llama3.2:3b	phishing	spam	0.0013	0.7456	0.2531	0.9926	your package is held, confirm your card to release
zero-shot	llama3.2:3b	spam	spam	0.0026	0.9966	0.0008	0.9937	best deals on refurbished phones this month
zero-shot	llama3.2:3b	legitimate	spam	0.2179	0.6595	0.1226	0.9835	please bring your laptop to the workshop
zero-shot	llama3.2:3b	phishing	phishing	0.0024	0.3712	0.6264	0.9935	sign in to view the encrypted message from hr
zero-shot	llama3.2:3b	spam	spam	0.1305	0.7325	0.1370	0.9880	your name appeared in our prize draw list
zero-shot	llama3.2:3b	legitimate	legitimate	0.9343	0.0446	0.0211	0.9859	the release notes are ready for your approval
zero-shot	llama3.2:3b	legitimate	spam	0.1469	0.7930	0.0601	0.9879	the intern starts on monday, say hello
few-shot	llama3.2:3b	spam	spam	0.1309	0.8383	0.0308	0.5926	lose twenty pounds with this one weird trick
few-shot	llama3.2:3b	legitimate	legitimate	0.8539	0.1461	0.0000	0.7929	can you review the draft before friday
few-shot	llama3.2:3b	phishing	spam	0.1214	0.5763	0.3023	0.3384	the ceo needs you to buy gift cards urgently
few-shot	llama3.2:3b	spam	spam	0.0081	0.9919	0.0000	0.4278	double your crypto returns guaranteed no risk
few-shot	llama3.2:3b	legitimate	legitimate	0.9999	0.0000	0.0000	0.7150	welcome to the team, here is your desk number
few-shot	llama3.2:3b	phishing	legitimate	0.5409	0.0843	0.3748	0.5960	your vpn certificate expired, reauthenticate here
few-shot	llama3.2:3b	spam	spam	0.0281	0.9333	0.0386	0.6797	your car warranty is about to expire, act now
few-shot	llama3.2:3b	legitimate	legitimate	0.9999	0.0000	0.0000	0.8545	we rescheduled the client call to wednesday
few-shot	llama3.2:3b	phishing	phishing	0.1970	0.0514	0.7517	0.2025	action required: reset your password within an hour
few-shot	llama3.2:3b	spam	spam	0.4764	0.5235	0.0000	0.5339	we can remove your debt in thirty days
few-shot	llama3.2:3b	legitimate	legitimate	0.9811	0.0189	0.0000	0.8461	the parking permit renewal form is due friday
few-shot	llama3.2:3b	phishing	legitimate	0.5150	0.1817	0.3033	0.8344	confirm your identity to release the held package
few-shot	llama3.2:3b	spam	spam	0.0000	0.9999	0.0000	0.4581	this stock is about to explode, buy before monday
few-shot	llama3.2:3b	legitimate	legitimate	0.9781	0.0219	0.0000	0.6471	badge access to the lab starts on monday
few-shot	llama3.2:3b	phishing	legitimate	0.8065	0.1667	0.0268	0.7582	urgent: the director asked me to handle this quietly
few-shot	llama3.2:3b	spam	spam	0.0210	0.9647	0.0142	0.6942	miracle cream removes wrinkles overnight
few-shot	llama3.2:3b	legitimate	legitimate	0.8461	0.1382	0.0157	0.8039	i added the numbers you asked for to the sheet
few-shot	llama3.2:3b	phishing	phishing	0.2893	0.1440	0.5666	0.7900	your package is held, confirm your card to release
few-shot	llama3.2:3b	spam	legitimate	0.5360	0.4640	0.0000	0.8276	best deals on refurbished phones this month
few-shot	llama3.2:3b	legitimate	legitimate	0.9741	0.0259	0.0000	0.6490	please bring your laptop to the workshop
few-shot	llama3.2:3b	phishing	phishing	0.0353	0.0328	0.9318	0.9620	sign in to view the encrypted message from hr
few-shot	llama3.2:3b	spam	legitimate	0.8659	0.1262	0.0079	0.7903	your name appeared in our prize draw list
few-shot	llama3.2:3b	legitimate	legitimate	0.9999	0.0000	0.0000	0.5017	the release notes are ready for your approval
few-shot	llama3.2:3b	legitimate	legitimate	0.9446	0.0554	0.0000	0.8312	the intern starts on monday, say hello
zero-shot	gemma4:31b-mlx	spam	spam	0.0000	1.0000	0.0000	1.0000	lose twenty pounds with this one weird trick
zero-shot	gemma4:31b-mlx	legitimate	legitimate	0.9999	0.0000	0.0000	1.0000	can you review the draft before friday
zero-shot	gemma4:31b-mlx	phishing	phishing	0.0000	0.0000	0.9999	1.0000	the ceo needs you to buy gift cards urgently
zero-shot	gemma4:31b-mlx	spam	spam	0.0000	0.9046	0.0953	1.0000	double your crypto returns guaranteed no risk
zero-shot	gemma4:31b-mlx	legitimate	legitimate	0.9999	0.0000	0.0000	1.0000	welcome to the team, here is your desk number
zero-shot	gemma4:31b-mlx	phishing	phishing	0.0000	0.0000	0.9999	1.0000	your vpn certificate expired, reauthenticate here
zero-shot	gemma4:31b-mlx	spam	spam	0.0000	0.9988	0.0012	1.0000	your car warranty is about to expire, act now
zero-shot	gemma4:31b-mlx	legitimate	legitimate	0.9999	0.0000	0.0000	1.0000	we rescheduled the client call to wednesday
zero-shot	gemma4:31b-mlx	phishing	phishing	0.0000	0.0000	1.0000	1.0000	action required: reset your password within an hour
zero-shot	gemma4:31b-mlx	spam	spam	0.0000	0.9999	0.0001	1.0000	we can remove your debt in thirty days
zero-shot	gemma4:31b-mlx	legitimate	legitimate	0.9999	0.0000	0.0000	1.0000	the parking permit renewal form is due friday
zero-shot	gemma4:31b-mlx	phishing	phishing	0.0000	0.0000	1.0000	1.0000	confirm your identity to release the held package
zero-shot	gemma4:31b-mlx	spam	spam	0.0000	1.0000	0.0000	1.0000	this stock is about to explode, buy before monday
zero-shot	gemma4:31b-mlx	legitimate	legitimate	0.9999	0.0000	0.0000	1.0000	badge access to the lab starts on monday
zero-shot	gemma4:31b-mlx	phishing	phishing	0.0000	0.0000	1.0000	1.0000	urgent: the director asked me to handle this quietly
zero-shot	gemma4:31b-mlx	spam	spam	0.0000	1.0000	0.0000	1.0000	miracle cream removes wrinkles overnight
zero-shot	gemma4:31b-mlx	legitimate	legitimate	0.9999	0.0000	0.0000	1.0000	i added the numbers you asked for to the sheet
zero-shot	gemma4:31b-mlx	phishing	phishing	0.0000	0.0000	0.9999	1.0000	your package is held, confirm your card to release
zero-shot	gemma4:31b-mlx	spam	spam	0.0000	1.0000	0.0000	1.0000	best deals on refurbished phones this month
zero-shot	gemma4:31b-mlx	legitimate	legitimate	0.9999	0.0000	0.0000	1.0000	please bring your laptop to the workshop
zero-shot	gemma4:31b-mlx	phishing	phishing	0.0000	0.0000	1.0000	1.0000	sign in to view the encrypted message from hr
zero-shot	gemma4:31b-mlx	spam	spam	0.0000	0.5927	0.4073	1.0000	your name appeared in our prize draw list
zero-shot	gemma4:31b-mlx	legitimate	legitimate	1.0000	0.0000	0.0000	1.0000	the release notes are ready for your approval
zero-shot	gemma4:31b-mlx	legitimate	legitimate	0.9999	0.0000	0.0000	1.0000	the intern starts on monday, say hello
